Block,Trial,Animal,FoodOption1,FoodOption2,FoodOption1Outcome,FoodOption2Outcome,FoodOption1Probability,PercUnc_label,Condition,Identity,TrialType
1,1,Rhino,Carrot,Grass,0,1,0.2,clear,nonsocial,1,task
1,2,Rhino,Carrot,Grass,0,1,0.2,clear,nonsocial,1,task
1,3,Rhino,Carrot,Grass,0,1,0.2,clear,nonsocial,1,task
1,4,Rhino,Carrot,Grass,1,0,0.2,clear,nonsocial,1,task
1,5,Rhino,Carrot,Grass,0,1,0.2,clear,nonsocial,1,task
1,6,Rhino,Carrot,Grass,0,1,0.2,ambiguous,nonsocial,1,task
1,7,Rhino,Carrot,Grass,0,1,0.2,ambiguous,nonsocial,1,task
1,8,Rhino,Carrot,Grass,0,1,0.2,ambiguous,nonsocial,1,task
1,9,Rhino,Carrot,Grass,0,1,0.2,ambiguous,nonsocial,1,task
1,10,Rhino,Carrot,Grass,0,1,0.2,ambiguous,nonsocial,1,task
1,11,Rhino,Carrot,Grass,1,0,0.2,ambiguous,nonsocial,1,task
1,12,Rhino,Carrot,Grass,0,1,0.2,clear,nonsocial,1,task
1,13,Rhino,Carrot,Grass,0,1,0.2,clear,nonsocial,1,task
1,14,Rhino,Carrot,Grass,0,1,0.2,clear,nonsocial,1,task
1,15,Rhino,Carrot,Grass,0,1,0.2,clear,nonsocial,1,task
1,16,Rhino,Carrot,Grass,1,0,0.2,clear,nonsocial,1,task
1,17,Rhino,Carrot,Grass,0,1,0.2,clear,nonsocial,1,task
1,18,Rhino,Carrot,Grass,0,1,0.2,ambiguous,nonsocial,1,task
1,19,Rhino,Carrot,Grass,1,0,0.2,ambiguous,nonsocial,1,task
1,20,Rhino,Carrot,Grass,0,1,0.2,ambiguous,nonsocial,1,task
1,21,Rhino,Carrot,Grass,1,0,0.8,ambiguous,nonsocial,1,task
1,22,Rhino,Carrot,Grass,1,0,0.8,ambiguous,nonsocial,1,task
1,23,Rhino,Carrot,Grass,1,0,0.8,clear,nonsocial,1,task
1,24,Rhino,Carrot,Grass,1,0,0.8,clear,nonsocial,1,task
1,25,Rhino,Carrot,Grass,1,0,0.8,clear,nonsocial,1,task
1,26,Rhino,Carrot,Grass,0,1,0.8,clear,nonsocial,1,task
1,27,Rhino,Carrot,Grass,1,0,0.8,ambiguous,nonsocial,1,task
1,28,Rhino,Carrot,Grass,1,0,0.8,ambiguous,nonsocial,1,task
1,29,Rhino,Carrot,Grass,0,1,0.8,ambiguous,nonsocial,1,task
1,30,Rhino,Carrot,Grass,1,0,0.8,ambiguous,nonsocial,1,task
1,31,Rhino,Carrot,Grass,1,0,0.8,ambiguous,nonsocial,1,task
1,32,Rhino,Carrot,Grass,1,0,0.8,ambiguous,nonsocial,1,task
1,33,Rhino,Carrot,Grass,1,0,0.8,clear,nonsocial,1,task
1,34,Rhino,Carrot,Grass,0,1,0.8,clear,nonsocial,1,task
1,35,Rhino,Carrot,Grass,1,0,0.8,clear,nonsocial,1,task
1,36,Rhino,Carrot,Grass,1,0,0.8,clear,nonsocial,1,task
1,37,Rhino,Carrot,Grass,1,0,0.8,clear,nonsocial,1,task
1,38,Rhino,Carrot,Grass,0,1,0.8,clear,nonsocial,1,task
1,39,Rhino,Carrot,Grass,1,0,0.8,ambiguous,nonsocial,1,task
1,40,Rhino,Carrot,Grass,1,0,0.8,ambiguous,nonsocial,1,task
1,41,Rhino,Carrot,Grass,1,0,0.8,ambiguous,nonsocial,1,task
1,42,Rhino,Carrot,Grass,1,0,0.8,ambiguous,nonsocial,1,task
2,43,Bear,Fish,Apple,0,1,0.2,clear,social,11,task
2,44,Bear,Fish,Apple,0,1,0.2,clear,social,63,task
